9s_(nier:automata), nier_(series), 1boy, white_hair, covered_eyes
diarmuid_ua_duibhne_(lancer)_(fate), fate_(series), 1boy, black_hair, yellow_eyes
diluc_(genshin_impact), genshin_impact, 1boy, red_hair, red_eyes
dio_brando, jojo_no_kimyou_na_bouken, 1boy, blonde_hair, red_eyes
edward_elric, fullmetal_alchemist, 1boy, blonde_hair, yellow_eyes
elio_(pokemon), pokemon, 1boy, black_hair, green_eyes
emiya_kiritsugu, fate_(series), 1boy, black_hair, black_eyes
emiya_shirou, fate_(series), 1boy, orange_hair, yellow_eyes
endeavor_(boku_no_hero_academia), boku_no_hero_academia, 1boy, facial_hair, blue_eyes
enkidu_(fate), fate_(series), 1boy, green_hair, green_eyes
eren_yeager, shingeki_no_kyojin, 1boy, black_hair, green_eyes
ethan_(pokemon), pokemon, 1boy, black_hair, blue_eyes
frisk_(undertale), undertale, 1boy, brown_hair, red_eyes
fujimaru_ritsuka_(male), fate_(series), 1boy, black_hair, blue_eyes
fujisaki_chihiro, danganronpa_(series), 1boy, brown_hair, brown_eyes
fushiguro_megumi, jujutsu_kaisen, 1boy, black_hair, green_eyes
gamagoori_ira, kill_la_kill, 1boy, blonde_hair, brown_eyes
getou_suguru, jujutsu_kaisen, 1boy, black_hair, blue_eyes
gilgamesh_(fate), fate_(series), 1boy, blonde_hair, red_eyes
giorno_giovanna, jojo_no_kimyou_na_bouken, 1boy, blonde_hair, blue_eyes
gladion_(pokemon), pokemon, 1boy, blonde_hair, green_eyes
goh_(pokemon), pokemon, 1boy, black_hair, blue_eyes
gojou_satoru, jujutsu_kaisen, 1boy, white_hair, blue_eyes
gran_(granblue_fantasy), granblue_fantasy, 1boy, brown_hair, brown_eyes
guido_mista, jojo_no_kimyou_na_bouken, 1boy, blonde_hair, black_eyes
gyro_zeppeli, jojo_no_kimyou_na_bouken, 1boy, blonde_hair, blue_eyes
hanamura_yousuke, persona, 1boy, brown_hair, brown_eyes
hawks_(boku_no_hero_academia), boku_no_hero_academia, 1boy, facial_hair, blue_eyes
higashikata_josuke, jojo_no_kimyou_na_bouken, 1boy, black_hair, blue_eyes
hilbert_(pokemon), pokemon, 1boy, brown_hair, blue_eyes
hinata_hajime, danganronpa_(series), 1boy, brown_hair, brown_eyes
hiro_(darling_in_the_franxx), darling_in_the_franxx, 1boy, black_hair, blue_eyes
honebami_toushirou, touken_ranbu, 1boy, white_hair, purple_eyes
horikawa_kunihiro, touken_ranbu, 1boy, black_hair, blue_eyes
ib_(ib), ib, 1boy, brown_hair, red_eyes
ikari_shinji, neon_genesis_evangelion, 1boy, brown_hair, blue_eyes
ike_(fire_emblem), fire_emblem, 1boy, blue_hair, blue_eyes
inkling_boy, splatoon_(series), 1boy, tentacle_hair, blue_eyes
iskandar_(fate), fate_(series), 1boy, facial_hair, red_eyes
itadori_yuuji, jujutsu_kaisen, 1boy, pink_hair, brown_eyes
ivan_karelin, tiger_&_bunny, 1boy, blonde_hair, purple_eyes
izumi-no-kami_kanesada, touken_ranbu, 1boy, black_hair, blue_eyes
james_(pokemon), pokemon, 1boy, green_eyes, blue_hair
jean_pierre_polnareff, jojo_no_kimyou_na_bouken, 1boy, grey_hair, blue_eyes
johnny_joestar, jojo_no_kimyou_na_bouken, 1boy, blonde_hair, blue_eyes
jonathan_joestar, jojo_no_kimyou_na_bouken, 1boy, blonde_hair, blue_eyes
joseph_joestar_(old), jojo_no_kimyou_na_bouken, 1boy, facial_hair, green_eyes
joseph_joestar_(young), jojo_no_kimyou_na_bouken, 1boy, blonde_hair, green_eyes
joseph_joestar, jojo_no_kimyou_na_bouken, 1boy, blonde_hair, green_eyes
kaburagi_t._kotetsu, tiger_&_bunny, 1boy, brown_hair, brown_eyes
kaedehara_kazuha, genshin_impact, 1boy, red_hair, red_eyes
kaeya_(genshin_impact), genshin_impact, 1boy, blue_hair, blue_eyes
kagamine_len, vocaloid, 1boy, blonde_hair, blue_eyes
kaito_(vocaloid), vocaloid, 1boy, blue_hair, blue_eyes
kakyoin_noriaki, jojo_no_kimyou_na_bouken, 1boy, red_hair, green_eyes
kamado_tanjirou, kimetsu_no_yaiba, 1boy, black_hair, red_eyes
kamijou_touma, toaru_majutsu_no_index, 1boy, black_hair, brown_eyes
kamisato_ayato, genshin_impact, 1boy, blue_hair, blue_eyes
kamui_gakupo, vocaloid, 1boy, purple_hair, blue_eyes
kamukura_izuru, danganronpa_(series), 1boy, red_eyes, black_hair
kaneki_ken, tokyo_ghoul, 1boy, red_eyes, white_hair
karna_(fate), fate_(series), 1boy, white_hair, blue_eyes
kars_(jojo), jojo_no_kimyou_na_bouken, 1boy, purple_hair, red_eyes
kashuu_kiyomitsu, touken_ranbu, 1boy, red_eyes, brown_hair
katsuki_yuuri, yuri!!!_on_ice, 1boy, black_hair, brown_eyes
kaveh_(genshin_impact), genshin_impact, 1boy, blonde_hair, red_eyes
killua_zoldyck, hunter_x_hunter, 1boy, white_hair, blue_eyes
king_hassan_(fate), fate_(series), 1boy, orange_hair, black_eyes
kirino_ranmaru, inazuma_eleven_(series), 1boy, pink_hair, blue_eyes
kirito, sword_art_online, 1boy, black_hair, black_eyes
kisaragi_shintarou, kagerou_project, 1boy, black_hair, red_eyes
kishibe_rohan, jojo_no_kimyou_na_bouken, 1boy, black_hair, green_eyes
koizumi_itsuki, suzumiya_haruhi_no_yuuutsu, 1boy, brown_hair, brown_eyes
komaeda_nagito, danganronpa_(series), 1boy, grey_hair, brown_eyes
kotomine_kirei, fate_(series), 1boy, brown_hair, brown_eyes
kujo_jotaro, jojo_no_kimyou_na_bouken, 1boy, black_hair, blue_eyes
kurosaki_ichigo, bleach, 1boy, orange_hair, brown_eyes
kyon, suzumiya_haruhi_no_yuuutsu, 1boy, brown_hair, brown_eyes
lelouch_vi_britannia, code_geass, 1boy, black_hair, purple_eyes
leon_(pokemon), pokemon, 1boy, purple_hair, yellow_eyes
leon_s._kennedy, resident_evil, 1boy, brown_hair, blue_eyes
levi_(shingeki_no_kyojin), shingeki_no_kyojin, 1boy, black_hair, black_eyes
link, the_legend_of_zelda, 1boy, blonde_hair, blue_eyes
lio_fotia, promare, 1boy, green_hair, purple_eyes
little_boy_admiral_(kancolle), kantai_collection, 1boy, brown_hair, brown_eyes
lucas_(pokemon), pokemon, 1boy, black_hair, blue_eyes
maebara_keiichi, higurashi_no_naku_koro_ni, 1boy, brown_hair, blue_eyes
marth_(fire_emblem), fire_emblem, 1boy, blue_hair, blue_eyes
matou_kariya, fate_(series), 1boy, white_hair, purple_eyes
matsuno_karamatsu, osomatsu-san, 1boy, black_hair, blue_eyes
matsuno_osomatsu, osomatsu-san, 1boy, black_hair, red_eyes
merlin_(fate), fate_(series), 1boy, white_hair, purple_eyes
midare_toushirou, touken_ranbu, 1boy, blonde_hair, blue_eyes
midoriya_izuku, boku_no_hero_academia, 1boy, green_hair, green_eyes
mikazuki_munechika, touken_ranbu, 1boy, blue_eyes, blue_hair
momota_kaito, danganronpa_(series), 1boy, facial_hair, purple_eyes
monkey_d._luffy, one_piece, 1boy, black_hair, black_eyes
morichika_rinnosuke, touhou, 1boy, grey_hair, yellow_eyes
mountain_(arknights), arknights, 1boy, white_hair, blue_eyes
n_(pokemon), pokemon, 1boy, green_hair, blue_eyes
naegi_makoto, danganronpa_(series), 1boy, brown_hair, brown_eyes
nagisa_kaworu, neon_genesis_evangelion, 1boy, red_eyes, grey_hair
namazuo_toushirou, touken_ranbu, 1boy, black_hair, purple_eyes
nanami_kento, jujutsu_kaisen, 1boy, blonde_hair, blue_eyes
napoleon_bonaparte_(fate), fate_(series), 1boy, facial_hair, blue_eyes
narukami_yuu, persona, 1boy, grey_hair, grey_eyes
nate_(pokemon), pokemon, 1boy, brown_eyes, brown_eyes
natsuki_subaru, re:zero_kara_hajimeru_isekai_seikatsu, 1boy, black_hair, blue_eyes
oberon_(fate), fate_(series), 1boy, blue_eyes, grey_hair
oma_kokichi, danganronpa_(series), 1boy, black_hair, purple_eyes
oreki_houtarou, hyouka, 1boy, black_hair, green_eyes
phosphophyllite, houseki_no_kuni, 1boy, crystal_hair, green_eyes
piers_(pokemon), pokemon, 1boy, two-tone_hair, green_eyes
pipimi, poptepipic, 1boy, blue_hair, blue_eyes
producer_(idolmaster_cinderella_girls_anime), idolmaster, 1boy, black_hair, brown_eyes
producer_(idolmaster), idolmaster, 1boy, brown_hair, brown_eyes
ragna_the_bloodedge, blazblue, 1boy, red_eyes, white_hair
raihan_(pokemon), pokemon, 1boy, black_hair, green_eyes
red_(pokemon), pokemon, 1boy, brown_hair, brown_eyes
reiner_braun, shingeki_no_kyojin, 1boy, blonde_hair, blue_eyes
rex_(xenoblade), xenoblade_chronicles_(series), 1boy, red_hair, yellow_eyes
robin_(male)_(fire_emblem), fire_emblem, 1boy, white_hair, blue_eyes
roronoa_zoro, one_piece, 1boy, green_hair, black_eyes
ru-class_battleship, kantai_collection, 1boy, black_hair, blue_eyes
ryoumen_sukuna_(jujutsu_kaisen), jujutsu_kaisen, 1boy, red_eyes, black_hair
ryu_(street_fighter), street_fighter, 1boy, black_hair, blue_eyes
saihara_shuichi, danganronpa_(series), 1boy, black_hair, brown_eyes
saitama_(one-punch_man), one-punch_man, 1boy, green_eyes, green_hair
sakata_gintoki, gintama, 1boy, white_hair, red_eyes
sanageyama_uzu, kill_la_kill, 1boy, green_hair, blue_eyes
sanji_(one_piece), one_piece, 1boy, blonde_hair, blue_eyes
satou_kazuma, kono_subarashii_sekai_ni_shukufuku_wo!, 1boy, brown_hair, red_eyes
scaramouche_(genshin_impact), genshin_impact, 1boy, purple_eyes, purple_hair
sephiroth, final_fantasy, 1boy, grey_hair, green_eyes
simon_(ttgl), tengen_toppa_gurren_lagann, 1boy, blue_hair, blue_eyes
slaine_troyard, aldnoah.zero, 1boy, blonde_hair, green_eyes
son_gohan, dragon_ball, 1boy, black_hair, black_eyes
son_goku, dragon_ball, 1boy, black_hair, black_eyes
sonic_the_hedgehog, sonic_(series), 1boy, green_eyes, blue_hair
sora_(kingdom_hearts), kingdom_hearts, 1boy, brown_hair, blue_eyes
steven_stone, pokemon, 1boy, blue_hair, blue_eyes
t-head_admiral, kantai_collection, 1boy, brown_hair, blue_eyes
t-head_trainer, umamusume, 1boy, brown_hair, blue_eyes
tartaglia_(genshin_impact), genshin_impact, 1boy, orange_hair, blue_eyes
tatsumi_kanji, persona, 1boy, blonde_hair, blue_eyes
tenma_tsukasa, project_sekai, 1boy, blonde_hair, orange_eyes
tighnari_(genshin_impact), genshin_impact, 1boy, green_hair, green_eyes
todoroki_shouto, boku_no_hero_academia, 1boy, red_hair, blue_eyes
tohsaka_tokiomi, fate_(series), 1boy, brown_hair, blue_eyes
toon_link, the_legend_of_zelda, 1boy, blonde_hair, blue_eyes
trafalgar_law, one_piece, 1boy, facial_hair, yellow_eyes
trainer_(umamusume), umamusume, 1boy, brown_hair, blue_eyes
tsurumaru_kuninaga, touken_ranbu, 1boy, white_hair, yellow_eyes
twilight_(spy_x_family), spy_x_family, 1boy, black_hair, red_eyes
uryuu_ryuunosuke, fate_(series), 1boy, orange_hair, black_eyes
ushiromiya_battler, umineko_no_naku_koro_ni, 1boy, red_hair, blue_eyes
vegeta, dragon_ball, 1boy, black_hair, black_eyes
venti_(genshin_impact), genshin_impact, 1boy, black_hair, green_eyes
victor_(pokemon), pokemon, 1boy, brown_hair, brown_eyes
viktor_nikiforov, yuri!!!_on_ice, 1boy, black_hair, blue_eyes
wanderer_(genshin_impact), genshin_impact, 1boy, purple_eyes, purple_hair
waver_velvet, fate_(series), 1boy, black_hair, green_eyes
xiao_(genshin_impact), genshin_impact, 1boy, yellow_eyes, green_hair
xingqiu_(genshin_impact), genshin_impact, 1boy, blue_hair, yellow_eyes
yamato-no-kami_yasusada, touken_ranbu, 1boy, blue_eyes, black_hair
yuri_lowell, tales_of_(series), 1boy, black_hair, black_eyes
yuuki_makoto, persona, 1boy, blue_hair, blue_eyes
zhongli_(genshin_impact), genshin_impact, 1boy, brown_hair, yellow_eyes
